,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.10329241752624511,0.0012400074056234383,0.003323197364807129,4.1435235344755124e-05,gini,2,50,"{'criterion': 'gini', 'max_depth': 2, 'n_estimators': 50}",0.6666666666666666,0.5238095238095238,0.47619047619047616,0.6666666666666666,0.7142857142857143,0.7619047619047619,0.5714285714285714,0.6666666666666666,0.5238095238095238,0.7142857142857143,0.6285714285714286,0.09233675918888244,8
1,0.2004237651824951,0.00096520739171533,0.005809473991394043,4.289865831665457e-05,gini,2,100,"{'criterion': 'gini', 'max_depth': 2, 'n_estimators': 100}",0.6666666666666666,0.5714285714285714,0.47619047619047616,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.6190476190476191,0.6666666666666666,0.5238095238095238,0.7142857142857143,0.6285714285714286,0.07619047619047618,8
2,0.29737875461578367,0.0009590548750453856,0.008333396911621094,5.359518144561983e-05,gini,2,150,"{'criterion': 'gini', 'max_depth': 2, 'n_estimators': 150}",0.6666666666666666,0.5714285714285714,0.5238095238095238,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.6666666666666666,0.5238095238095238,0.7142857142857143,0.6333333333333334,0.07392464141076201,4
3,0.3967913627624512,0.007095322893498013,0.010894227027893066,5.017043581957263e-05,gini,2,200,"{'criterion': 'gini', 'max_depth': 2, 'n_estimators': 200}",0.6666666666666666,0.5714285714285714,0.5238095238095238,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.6190476190476191,0.6666666666666666,0.47619047619047616,0.7142857142857143,0.6285714285714286,0.07619047619047618,8
4,0.12750630378723143,0.0009681449934115851,0.0032777309417724608,1.4723307659314298e-05,gini,3,50,"{'criterion': 'gini', 'max_depth': 3, 'n_estimators': 50}",0.6666666666666666,0.47619047619047616,0.5238095238095238,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.5238095238095238,0.6666666666666666,0.6333333333333333,0.08531653746270912,5
5,0.25054833889007566,0.0015997244316386433,0.005832648277282715,4.546342238719886e-05,gini,3,100,"{'criterion': 'gini', 'max_depth': 3, 'n_estimators': 100}",0.6666666666666666,0.5714285714285714,0.5238095238095238,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.6190476190476191,0.6666666666666666,0.5238095238095238,0.6666666666666666,0.6285714285714286,0.06317380553057902,8
6,0.37327897548675537,0.0016976017929101418,0.008418464660644531,6.46233283776269e-05,gini,3,150,"{'criterion': 'gini', 'max_depth': 3, 'n_estimators': 150}",0.6666666666666666,0.5714285714285714,0.5238095238095238,0.5714285714285714,0.6190476190476191,0.7142857142857143,0.5714285714285714,0.6666666666666666,0.5238095238095238,0.7142857142857143,0.6142857142857143,0.06884205854667123,22
7,0.4950512170791626,0.003141500504031984,0.010979938507080077,6.178729601671968e-05,gini,3,200,"{'criterion': 'gini', 'max_depth': 3, 'n_estimators': 200}",0.6666666666666666,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.6190476190476191,0.6666666666666666,0.6190476190476191,0.6666666666666666,0.5238095238095238,0.6666666666666666,0.6238095238095238,0.04971574528052641,15
8,0.14956648349761964,0.0008735252188415677,0.0033034801483154295,3.637798774091202e-05,gini,4,50,"{'criterion': 'gini', 'max_depth': 4, 'n_estimators': 50}",0.6190476190476191,0.5238095238095238,0.47619047619047616,0.5714285714285714,0.5238095238095238,0.7142857142857143,0.6190476190476191,0.6666666666666666,0.42857142857142855,0.7619047619047619,0.5904761904761904,0.10033955955097847,31
9,0.2937648296356201,0.002668918405224326,0.005917119979858399,7.881021971488402e-05,gini,4,100,"{'criterion': 'gini', 'max_depth': 4, 'n_estimators': 100}",0.6190476190476191,0.5714285714285714,0.5238095238095238,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.6190476190476191,0.7142857142857143,0.5238095238095238,0.7142857142857143,0.6142857142857143,0.07206069500200742,22
10,0.4387786626815796,0.002989598358436536,0.008552145957946778,4.851194758759761e-05,gini,4,150,"{'criterion': 'gini', 'max_depth': 4, 'n_estimators': 150}",0.6190476190476191,0.5714285714285714,0.5238095238095238,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.47619047619047616,0.7142857142857143,0.6285714285714286,0.0761904761904762,8
11,0.5803606748580933,0.0022116167483215788,0.01111431121826172,5.93185041494951e-05,gini,4,200,"{'criterion': 'gini', 'max_depth': 4, 'n_estimators': 200}",0.6190476190476191,0.5714285714285714,0.5238095238095238,0.6190476190476191,0.6190476190476191,0.7142857142857143,0.6190476190476191,0.7142857142857143,0.5238095238095238,0.7142857142857143,0.6238095238095238,0.06884205854667123,15
12,0.16720640659332275,0.001052277966118564,0.0033881425857543944,2.7880593611784433e-05,gini,5,50,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 50}",0.6666666666666666,0.47619047619047616,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.5238095238095238,0.7142857142857143,0.5857142857142856,0.08793421577437803,32
