,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0031692028045654298,0.0001404973073837219,0.018234992027282716,0.0001404613855586556,3,1,uniform,"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.7142857142857143,0.47619047619047616,0.42857142857142855,0.5714285714285714,0.47619047619047616,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.38095238095238093,0.5714285714285714,0.5333333333333334,0.08984743935292006,11
1,0.0031396627426147463,3.809866976324362e-05,0.017970895767211913,0.00010042037718172313,3,1,distance,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.7142857142857143,0.47619047619047616,0.5238095238095238,0.5714285714285714,0.47619047619047616,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.38095238095238093,0.6666666666666666,0.5666666666666667,0.10312575156051294,3
2,0.00367431640625,0.0001976969330653159,0.0034183263778686523,0.00012656897761692648,3,2,uniform,"{'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.6666666666666666,0.38095238095238093,0.47619047619047616,0.5714285714285714,0.42857142857142855,0.5238095238095238,0.6190476190476191,0.5714285714285714,0.38095238095238093,0.5714285714285714,0.519047619047619,0.09391944249198104,15
3,0.0036597490310668946,2.2789735965015657e-05,0.0029825210571289063,1.9258613997890777e-05,3,2,distance,"{'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.7142857142857143,0.38095238095238093,0.5238095238095238,0.6190476190476191,0.42857142857142855,0.5238095238095238,0.6190476190476191,0.7142857142857143,0.38095238095238093,0.6190476190476191,0.5523809523809524,0.11895234282663618,7
4,0.0031982421875,0.00016430293205388707,0.019313549995422362,0.0005998302564150575,4,1,uniform,"{'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",0.6190476190476191,0.38095238095238093,0.47619047619047616,0.6190476190476191,0.5238095238095238,0.38095238095238093,0.7142857142857143,0.5238095238095238,0.38095238095238093,0.6666666666666666,0.5285714285714286,0.11751393027860063,13
5,0.0031455278396606444,2.6110492084278604e-05,0.017397260665893553,2.282830193354009e-05,4,1,distance,"{'n_neighbors': 4, 'p': 1, 'weights': 'distance'}",0.7142857142857143,0.42857142857142855,0.5238095238095238,0.7142857142857143,0.5714285714285714,0.5238095238095238,0.6190476190476191,0.5714285714285714,0.42857142857142855,0.6190476190476191,0.5714285714285714,0.09523809523809525,2
6,0.0036624670028686523,0.00017822356518024153,0.0034246206283569335,9.987937075179357e-05,4,2,uniform,"{'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",0.5714285714285714,0.38095238095238093,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.6190476190476191,0.42857142857142855,0.7142857142857143,0.5666666666666667,0.11358914706549109,3
7,0.0036655664443969727,1.4546366712633598e-05,0.0030051231384277343,1.140139482640831e-05,4,2,distance,"{'n_neighbors': 4, 'p': 2, 'weights': 'distance'}",0.6666666666666666,0.38095238095238093,0.6190476190476191,0.7142857142857143,0.6190476190476191,0.5714285714285714,0.6666666666666666,0.6190476190476191,0.47619047619047616,0.5714285714285714,0.5904761904761905,0.09331389496316869,1
8,0.0032052040100097657,0.0001612446971805304,0.019293451309204103,0.0005849490510631385,5,1,uniform,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.7142857142857143,0.38095238095238093,0.38095238095238093,0.6190476190476191,0.5714285714285714,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.3333333333333333,0.6666666666666666,0.5333333333333334,0.12380952380952381,11
9,0.0031369686126708984,2.6728881371036347e-05,0.017416834831237793,7.27300359805604e-05,5,1,distance,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.6190476190476191,0.42857142857142855,0.42857142857142855,0.6190476190476191,0.47619047619047616,0.47619047619047616,0.6190476190476191,0.5238095238095238,0.38095238095238093,0.7142857142857143,0.5285714285714286,0.10312575156051296,13
10,0.0036536455154418945,0.00018132598186667225,0.003430747985839844,9.963427698688453e-05,5,2,uniform,"{'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.7142857142857143,0.3333333333333333,0.47619047619047616,0.6190476190476191,0.5238095238095238,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.3333333333333333,0.6190476190476191,0.5428571428571429,0.1227057021592869,10
11,0.003650856018066406,1.0407619576272056e-05,0.0030303955078125,1.7131731202621596e-05,5,2,distance,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.6666666666666666,0.3333333333333333,0.47619047619047616,0.6190476190476191,0.38095238095238093,0.47619047619047616,0.6666666666666666,0.5714285714285714,0.38095238095238093,0.6190476190476191,0.519047619047619,0.11942796384747097,15
12,0.0032020330429077147,0.00016051889347204785,0.019309353828430176,0.0005643957794773213,6,1,uniform,"{'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}",0.7142857142857143,0.42857142857142855,0.47619047619047616,0.5714285714285714,0.5714285714285714,0.47619047619047616,0.6666666666666666,0.5238095238095238,0.42857142857142855,0.7142857142857143,0.5571428571428572,0.10443672475933959,6
